TIMEKEY,T1,T5,T15
090000,085900,090000,084500
090100,090000,090000,084500
090200,090100,090000,084500
090300,090200,090000,084500
090400,090300,090000,084500
090500,090400,090500,084500
090600,090500,090500,084500
090700,090600,090500,084500
090800,090700,090500,084500
090900,090800,090500,084500
091000,090900,091000,084500
091100,091000,091000,084500
091200,091100,091000,084500
091300,091200,091000,084500
091400,091300,091000,084500
091500,091400,091500,090000
091600,091500,091500,090000
091700,091600,091500,090000
091800,091700,091500,090000
091900,091800,091500,090000
092000,091900,092000,090000
092100,092000,092000,090000
092200,092100,092000,090000
092300,092200,092000,090000
092400,092300,092000,090000
092500,092400,092500,090000
092600,092500,092500,090000
092700,092600,092500,090000
092800,092700,092500,090000
092900,092800,092500,090000
093000,092900,093000,091500
093100,093000,093000,091500
093200,093100,093000,091500
093300,093200,093000,091500
093400,093300,093000,091500
093500,093400,093500,091500
093600,093500,093500,091500
093700,093600,093500,091500
093800,093700,093500,091500
093900,093800,093500,091500
094000,093900,094000,091500
094100,094000,094000,091500
094200,094100,094000,091500
094300,094200,094000,091500
094400,094300,094000,091500
094500,094400,094500,093000
094600,094500,094500,093000
094700,094600,094500,093000
094800,094700,094500,093000
094900,094800,094500,093000
095000,094900,095000,093000
095100,095000,095000,093000
095200,095100,095000,093000
095300,095200,095000,093000
095400,095300,095000,093000
095500,095400,095500,093000
095600,095500,095500,093000
095700,095600,095500,093000
095800,095700,095500,093000
095900,095800,095500,093000
100000,095900,100000,094500
100100,100000,100000,094500
100200,100100,100000,094500
100300,100200,100000,094500
100400,100300,100000,094500
100500,100400,100500,094500
100600,100500,100500,094500
100700,100600,100500,094500
100800,100700,100500,094500
100900,100800,100500,094500
101000,100900,101000,094500
101100,101000,101000,094500
101200,101100,101000,094500
101300,101200,101000,094500
101400,101300,101000,094500
101500,101400,101500,100000
101600,101500,101500,100000
101700,101600,101500,100000
101800,101700,101500,100000
101900,101800,101500,100000
102000,101900,102000,100000
102100,102000,102000,100000
102200,102100,102000,100000
102300,102200,102000,100000
102400,102300,102000,100000
102500,102400,102500,100000
102600,102500,102500,100000
102700,102600,102500,100000
102800,102700,102500,100000
102900,102800,102500,100000
103000,102900,103000,101500
103100,103000,103000,101500
103200,103100,103000,101500
103300,103200,103000,101500
103400,103300,103000,101500
103500,103400,103500,101500
103600,103500,103500,101500
103700,103600,103500,101500
103800,103700,103500,101500
103900,103800,103500,101500
104000,103900,104000,101500
104100,104000,104000,101500
104200,104100,104000,101500
104300,104200,104000,101500
104400,104300,104000,101500
104500,104400,104500,103000
104600,104500,104500,103000
104700,104600,104500,103000
